tam_lista, algoritmo, tipo, tempo, comparacoes, trocas
1000, bubblesort, ord, 0.002547, 499500, 0
10000, bubblesort, ord, 0.139560, 49995000, 0
100000, bubblesort, ord, 13.404971, 4999950000, 0
1000000, bubblesort, ord, 1338.446049, 499999500000, 0
2000, bubblesort, ord, 0.005339, 1999000, 0
20000, bubblesort, ord, 0.535048, 199990000, 0
200000, bubblesort, ord, 53.518478, 19999900000, 0
3000, bubblesort, ord, 0.012036, 4498500, 0
30000, bubblesort, ord, 1.202644, 449985000, 0
300000, bubblesort, ord, 120.429770, 44999850000, 0
4000, bubblesort, ord, 0.021371, 7998000, 0
40000, bubblesort, ord, 2.138238, 799980000, 0
400000, bubblesort, ord, 214.080742, 79999800000, 0
5000, bubblesort, ord, 0.033407, 12497500, 0
50000, bubblesort, ord, 3.342804, 1249975000, 0
500000, bubblesort, ord, 334.577206, 124999750000, 0
6000, bubblesort, ord, 0.048068, 17997000, 0
60000, bubblesort, ord, 4.815992, 1799970000, 0
600000, bubblesort, ord, 481.748611, 179999700000, 0
7000, bubblesort, ord, 0.065424, 24496500, 0
70000, bubblesort, ord, 6.558042, 2449965000, 0
700000, bubblesort, ord, 655.738008, 244999650000, 0
8000, bubblesort, ord, 0.085478, 31996000, 0
80000, bubblesort, ord, 8.565698, 3199960000, 0
800000, bubblesort, ord, 856.464998, 319999600000, 0
9000, bubblesort, ord, 0.108198, 40495500, 0
90000, bubblesort, ord, 10.835880, 4049955000, 0
900000, bubblesort, ord, 1084.482462, 404999550000, 0
1000, bubblesort, rand, 0.002056, 499500, 482640
10000, bubblesort, rand, 0.240892, 49995000, 49717104
100000, bubblesort, rand, 32.507456, 4999950000, 5001802744
1000000, bubblesort, rand, 3339.010592, 499999500000, 500020286542
2000, bubblesort, rand, 0.008323, 1999000, 2046226
20000, bubblesort, rand, 1.159209, 199990000, 199443286
200000, bubblesort, rand, 132.482167, 19999900000, 20049398996
3000, bubblesort, rand, 0.018483, 4498500, 4529832
30000, bubblesort, rand, 2.751408, 449985000, 449552258
300000, bubblesort, rand, 299.832744, 44999850000, 45003235426
4000, bubblesort, rand, 0.033448, 7998000, 8025598
40000, bubblesort, rand, 5.021971, 799980000, 801614778
400000, bubblesort, rand, 533.085515, 79999800000, 80083516910
5000, bubblesort, rand, 0.052299, 12497500, 12289002
50000, bubblesort, rand, 7.952027, 1249975000, 1247554214
500000, bubblesort, rand, 833.817117, 124999750000, 125172063556
6000, bubblesort, rand, 0.077621, 17997000, 18377756
60000, bubblesort, rand, 11.568698, 1799970000, 1797931306
600000, bubblesort, rand, 1200.458713, 179999700000, 180075009312
7000, bubblesort, rand, 0.107483, 24496500, 24656684
70000, bubblesort, rand, 15.993206, 2449965000, 2457011136
700000, bubblesort, rand, 1636.011873, 244999650000, 245098042922
8000, bubblesort, rand, 0.143989, 31996000, 32040286
80000, bubblesort, rand, 20.711302, 3199960000, 3194029916
800000, bubblesort, rand, 2139.839564, 319999600000, 320242712236
9000, bubblesort, rand, 0.187385, 40495500, 40350314
90000, bubblesort, rand, 26.582116, 4049955000, 4042989050
